AirportGroupId,Airport
-13,Bournemouth
-13,Plymouth
-13,Newquay-StMawgan
-13,Exeter
-13,Cardiff-Wales
-13,Bristol
-12,Heathrow
-12,Jersey-States
-12,Manston-Kent
-12,Southend
-12,LondonCity
-12,Luton
-12,Stansted
-12,Gatwick
-12,Southampton
-11,Blackpool
-11,Manchester
-11,Liverpool
-11,LeedsBradford
-10,Newcastle
-10,DurhamTeesValley
-10,Humberside
-10,DoncasterSheffield
-9,Stansted
-9,Norwich
-8,Shannon
-8,Dublin
-8,Cork
-7,Londonderry-Eglinton
-7,BelfastCity
-7,Belfast
-3,Glasgow-Prestwick
-3,Inverness
-3,Dundee
-3,Aberdeen
-3,Glasgow
-3,Edinburgh
-2,DoncasterSheffield
-2,Coventry-Baginton
-2,LeedsBradford
-2,Humberside
-2,Nottingham
-2,Birmingham
-1,Luton
-1,Stansted
-1,Heathrow
-1,LondonCity
-1,Gatwick
