Country,IATA,RegionId,Region Name,Resort Id,Resort Name
Spain,MAD,15,Spain,1785,Toledo
Greece,SKG,16,Greece,1248,Potidea
Greece,SKG,16,Greece,15718,Litochoron
Greece,SKG,16,Greece,25595,Litochoro
Portugal,OPO,18,Portugal,198,Coimbra
Turkey,AYT,19,Turkey,228,Tekirova
Turkey,IZM,19,Turkey,466,Akbuk
Turkey,ADB,19,Turkey,548,Altinkum-Didim
Turkey,BJV,19,Turkey,639,Didim-Altinkum
Turkey,BJV,19,Turkey,1370,Akyarlar
Turkey,DLM,19,Turkey,1829,Oludeniz
Turkey,BJV,19,Turkey,1878,Turkbuku
Turkey,DLM,19,Turkey,2477,Dalyan
Turkey,BJV,19,Turkey,2893,Altinkum-Didim
Tunisia,NBE,22,Tunisia,7671,Kairouan
Tunisia,TUN,22,Tunisia,10047,Dkhila
Tunisia,NBE,22,Tunisia,12823,Sidi Bou Said
Tunisia,TUN,22,Tunisia,15101,Ezzahra
Tunisia,NBE,22,Tunisia,16381,Douz
Tunisia,NBE,22,Tunisia,16455,Ain Draham
Tunisia,TUN,22,Tunisia,19779,Douz
Tunisia,TUN,22,Tunisia,19785,Kairouan
Tunisia,TUN,22,Tunisia,52099,Tunica Resorts
Morocco,RAK,23,Morocco,1205,El Jadida
Morocco,FEZ,23,Morocco,2953,Fez
Morocco,AGA,23,Morocco,8106,Sidi Ifni
Morocco,AGA,23,Morocco,8107,Tafraout
Malta,MLA,24,Malta,43,Valletta- Floriana
Malta,MLA,24,Malta,95,Attard
Malta,MLA,24,Malta,420,Marfa
Malta,MLA,24,Malta,1151,St Georges Bay
Malta,MLA,24,Malta,1175,Malta
Malta,MLA,24,Malta,1861,San Lawrenz
Malta,MLA,24,Malta,1864,Xlendi
Malta,MLA,24,Malta,1865,Xaghra
Malta,MLA,24,Malta,2031,Mdina
Malta,MLA,24,Malta,2229,Xemxija
Malta,MLA,24,Malta,3267,Ghasri
Malta,MLA,24,Malta,18930,Kappara
Malta,MLA,24,Malta,20533,St. Lawrenz
Malta,MLA,24,Malta,20536,ST Pauls
Malta,MLA,24,Malta,20537,Marfa Road
