Mhid,TA,StarRating
1,228577,4
2,498781,4
3,2284110,4
5,529061,3
8,608295,2
9,229442,4
11,645086,3
12,1202227,5
17,597012,4
19,944656,4
20,320985,3
22,1526898,4
24,535547,4
27,1104000,4
29,1168477,3
31,657754,4
32,571609,4
33,272744,3
34,584696,3
36,272980,4
37,272971,5
39,316297,4
40,234277,4
42,573753,3
44,573803,3
45,273039,4
46,574052,3
48,535199,3
49,483172,4
51,536079,3
52,534828,4
53,264047,4
55,272730,4
58,273117,4
59,325898,4
63,530139,3
64,264423,3
67,500216,3
69,286911,3
70,252892,4
71,535688,3
72,289207,4
73,267217,4
75,238614,4
76,1178187,2
77,289669,4
78,6161577,5
79,508231,2
81,507841,3
82,264231,4
84,260683,4
85,236984,3
86,324507,3
87,569347,2
89,4358652,3
94,647671,4
96,507707,2
98,1075468,3
99,562985,2
101,502301,4
102,1751051,3
105,290266,4
106,590318,3
107,569769,4
109,290097,3
110,283106,4
118,487085,3
119,0,1
120,291066,3
122,500650,3
125,564380,3
126,573351,5
127,281131,4
131,535624,4
132,230657,4
135,236946,4
136,482196,4
137,515020,3
138,289966,3
139,483132,4
140,275963,4
143,238663,3
144,236967,4
145,482437,4
146,0,4
147,483129,4
148,289198,4
150,507817,3
151,232720,4
152,500400,3
153,507897,3
154,305573,5
155,264504,3
157,264381,3
158,1161402,3
159,238796,4
161,238623,3
162,236969,3
163,626804,4
164,272722,4
165,265399,3
166,535614,3
167,264514,3
168,236965,3
169,319667,4
171,275962,4
172,4045822,2
174,567911,3
175,277705,3
176,287017,4
177,238813,4
178,487126,4
179,228477,5
187,291002,4
188,250796,3
190,290999,4
194,238647,4
195,500575,4
196,290360,3
198,568862,4
199,234411,2
204,273045,4
206,273043,4
207,0,4
208,237034,4
210,487084,4
211,501145,4
213,272716,3
214,530708,2
217,289214,3
218,236968,4
219,569775,3
220,289782,3
222,272757,4
223,291122,4
224,507928,3
226,272871,4
227,1220084,3
228,1151906,5
230,528306,4
231,573639,3
232,573544,3
233,535151,3
235,272850,4
238,506082,4
239,270578,5
240,287908,4
244,272803,4
245,1220516,4
246,290264,4
253,80244,3
255,611947,4
258,0,5
266,223234,3
268,123533,4
273,1174685,3
286,1858923,4
308,209387,4
316,1199852,3
318,0,4
320,1762573,4
354,1858373,3
369,82148,3
373,79954,3
415,208712,4
417,84832,3
418,80355,3
422,602719,2
440,87129,3
472,1234559,3
478,1201533,4
482,2079052,3
492,584407,4
503,78221,3
513,80643,4
520,223711,4
526,224246,3
530,216488,3
537,499976,4
538,237061,4
540,573842,4
541,678447,4
542,262427,5
543,571851,3
544,573459,4
548,507827,3
549,238826,4
550,456663,3
551,236966,3
552,236951,4
553,507820,3
554,4583397,3
557,507802,3
558,507894,3
560,508274,3
562,624817,2
563,238995,3
565,264996,4
567,0,4
569,487083,4
570,228506,5
571,232724,5
579,536011,2
585,569403,4
587,506908,4
588,287425,4
591,291015,4
592,507726,1
596,530111,2
597,530712,2
598,507737,3
602,314874,3
604,500874,2
607,500688,2
609,232773,3
610,1221629,3
611,278993,4
613,508074,3
616,508107,3
617,528728,4
620,507785,4
621,577892,4
622,568016,2
623,535506,4
624,280926,4
627,507100,4
628,321005,4
631,282904,4
632,487637,4
633,502142,3
634,577969,3
637,264346,2
638,530192,3
639,276082,2
640,507742,2
642,507717,2
644,279160,3
649,946648,2
652,264494,4
654,506670,3
655,530236,3
656,277584,3
658,264344,3
660,281133,4
662,507722,2
663,1675934,3
664,1160965,2
666,0,2
667,291036,2
670,218524,5
672,259337,5
673,150883,3
674,150887,4
675,253663,3
676,241697,5
678,150815,5
682,149450,3
683,152050,3
685,557050,2
687,287941,4
688,481330,3
691,499818,4
692,235610,4
693,231995,4
694,571700,3
700,573402,4
705,280841,3
706,951973,3
707,228606,5
711,483777,4
715,1191068,4
716,227369,4
717,267181,3
718,500433,4
721,532021,4
722,1159670,3
723,1161857,3
730,1235815,3
731,648295,5
744,938926,3
746,1949088,5
747,1057134,4
751,2022050,3
752,2444905,4
